date,hcho_igp_mean,valid_pixel_frac
2023-10-01,0.00017368745,0.78817207
2023-10-02,0.00017871468,0.8311156
2023-10-03,0.00015563115,0.8514113
2023-10-04,0.00014969589,0.86303765
2023-10-05,0.00019774209,0.86055106
2023-10-06,0.00021069017,0.85409945
2023-10-07,0.0001831695,0.85087365
2023-10-08,0.00013838889,0.84791666
2023-10-09,0.00015374713,0.84482527
2023-10-10,0.00018391506,0.84435487
2023-10-11,0.00019681643,0.84280914
2023-10-12,0.00021613376,0.8405914
2023-10-13,0.00018083103,0.8290995
2023-10-14,0.0001334098,0.8235887
2023-10-15,0.0001465282,0.8214382
2023-10-16,0.00015569653,0.8183468
2023-10-17,0.00015270179,0.8112903
2023-10-18,0.00013099713,0.806922
2023-10-19,0.00014151781,0.8032258
2023-10-20,0.0001903134,0.7952285
2023-10-21,0.00021901693,0.7936156
2023-10-22,0.00022886375,0.7942876
2023-10-23,0.0002020855,0.7959005
2023-10-24,0.000169732,0.79643816
2023-10-25,0.00018432435,0.79422045
2023-10-26,0.00017126574,0.7883065
2023-10-27,0.00023598364,0.79247314
2023-10-28,0.00023427136,0.7919355
2023-10-29,0.00023124728,0.7921371
2023-10-30,0.00022475923,0.7919355
2023-10-31,0.00024899637,0.78790325
2023-11-01,0.00026899087,0.7905914
2023-11-02,0.00023644189,0.79287636
2023-11-03,0.00021389188,0.79375
2023-11-04,0.00021428768,0.79287636
2023-11-05,0.000273988,0.7903898
2023-11-06,0.00027425168,0.7872984
2023-11-07,0.00023785223,0.7875
2023-11-08,0.00021542414,0.7873656
2023-11-09,0.00020991721,0.7856183
2023-11-10,0.00017733726,0.7844758
2023-11-11,0.00016676402,0.78158605
2023-11-12,0.00020337311,0.7826613
2023-11-13,0.0002597892,0.783871
2023-11-14,0.00025883294,0.78346777
2023-11-15,0.00024462387,0.78353494
2023-11-16,0.00026751298,0.78340054
2023-11-17,0.00023491766,0.78655916
2023-11-18,0.00024275189,0.78985214
2023-11-19,0.00020304903,0.7926747
2023-11-20,0.00023243623,0.7948925
2023-11-21,0.00025849039,0.79422045
2023-11-22,0.00023069645,0.7968414
2023-11-23,0.00023315744,0.7971102
2023-11-24,0.00023688644,0.79758066
2023-11-25,0.00023708225,0.7985887
2023-11-26,0.00021916624,0.7987231
2023-11-27,0.00020434112,0.79657257
2023-11-28,0.0001853457,0.79818547
2023-11-29,0.00017403254,0.79294354
2023-11-30,0.00015579436,0.7866936
2023-12-01,0.00015474588,0.7688172
2023-12-02,0.00014664988,0.7793683
2023-12-03,0.00017293825,0.7856183
2023-12-04,0.00015637146,0.78676075
2023-12-05,0.00017620593,0.7870968
2023-12-06,0.00017395156,0.7863575
2023-12-07,0.00018111433,0.7765457
2023-12-08,0.00016734375,0.7778898
2023-12-09,0.00018856979,0.77748656
2023-12-10,0.00019257293,0.77076614
2023-12-11,0.00019725267,0.7713038
2023-12-12,0.00018403368,0.7705645
2023-12-13,0.00016051753,0.7705645
2023-12-14,0.0001525346,0.76962364
2023-12-15,0.00017924333,0.7703629
2023-12-16,0.00017064081,0.77237904
2023-12-17,0.00014343116,0.7714382
2023-12-18,0.00016855505,0.7690188
2023-12-19,0.00014890527,0.7784946
2023-12-20,0.00021743885,0.7815188
2023-12-21,0.00019430854,0.78219086
2023-12-22,0.00018650439,0.7850807
2023-12-23,0.00022534306,0.7875672
2023-12-24,0.00019201636,0.78951615
2023-12-25,0.00019518167,0.79186827
2023-12-26,0.00020559486,0.7936156
2023-12-27,0.00017215901,0.79482526
2023-12-28,0.00015018308,0.7959005
2023-12-29,0.00016049655,0.7948925
2023-12-30,0.00016267809,0.79375
2023-12-31,0.00016174895,0.7910618
2024-01-01,0.0001427924,0.7850807
2024-01-02,0.00012910547,0.78145164
2024-01-03,0.00015048402,0.774664
2024-01-04,0.00012828632,0.7774193
2024-01-05,0.00012736427,0.7841398
2024-01-06,0.00011810153,0.7847446
2024-01-07,0.00011462685,0.7887769
2024-01-08,0.00010952972,0.8014113
2024-01-09,0.00010924082,0.8053091
2024-01-10,0.00012278277,0.8091398
2024-01-11,0.0001310473,0.81169355
2024-01-12,0.00011430407,0.81330645
2024-01-13,0.00012742453,0.8157258
2024-01-14,0.00015525482,0.81606185
2024-01-15,0.00013850679,0.8156586
2024-01-16,0.00013004,0.815457
2024-01-17,0.00011972053,0.81270164
2024-01-18,0.00011863683,0.806586
2024-01-19,0.00012527785,0.80537635
2024-01-20,0.00012642551,0.80409944
2024-01-21,0.00010853624,0.959543
2024-01-22,0.000111041314,0.959543
2024-01-23,0.0001042698,0.959543
2024-01-24,6.423671e-05,0.959543
2024-01-25,9.191307e-05,0.959543
2024-01-26,0.00013025779,0.959543
2024-01-27,0.00012605537,0.959543
2024-01-28,2.1628424e-05,0.959543
2024-01-29,0.00011641144,0.959543
2024-01-30,9.9827645e-05,0.959543
2024-01-31,2.475125e-05,0.959543
