cluster_id,n_pixels,center_lat,center_lon,lat_range,lon_range
0,807,27.784136703008343,79.8524093047622,23.88-33.46,72.80-88.67
9,115,19.333576909024476,73.46737363025804,15.31-23.13,72.54-74.81
5,91,22.718810601163543,87.33431609041362,21.36-24.13,85.65-88.93
11,88,20.88292589763178,80.36631559497414,18.84-22.87,78.34-82.63
3,59,26.168352086597352,91.04988287171004,25.14-26.66,88.93-92.71
26,33,10.612681436210849,76.08080808080808,8.76-12.54,75.07-76.83
1,33,26.91520244461421,94.44863266814485,25.90-27.66,93.46-95.48
14,22,21.43009931245225,83.5081300813008,21.11-22.12,82.63-84.64
21,16,18.399159663865547,80.46798780487805,17.83-19.09,79.85-81.11
18,13,20.25597931480285,84.21575984990619,19.85-20.61,83.63-84.89
10,12,22.390756302521012,77.12330623306234,22.12-22.62,76.58-77.59
19,11,19.22994652406417,76.57723577235774,18.84-19.60,76.07-77.08
22,11,17.53399541634836,77.63118994826313,17.08-18.08,77.08-78.34
25,11,14.119174942704353,75.06504065040649,13.55-14.55,74.56-75.57
23,9,17.46778711484594,79.62962962962962,17.08-17.83,79.10-80.11
8,8,22.968487394957982,71.6941056910569,22.62-23.38,71.28-72.04
16,8,21.361344537815125,76.70325203252033,21.11-21.61,76.33-77.08
17,8,21.361344537815125,77.8689024390244,21.11-21.61,77.59-78.09
2,6,27.369747899159663,95.89972899728997,27.16-27.66,95.73-96.24
6,6,23.882352941176467,83.2981029810298,23.63-24.13,83.13-83.63
15,6,21.61344537815126,71.41056910569104,21.36-21.87,71.28-71.54
12,5,22.571428571428573,83.93658536585366,22.37-22.87,83.63-84.14
7,5,23.529411764705884,84.08780487804879,23.38-23.63,83.89-84.39
20,5,18.789915966386555,74.46016260162602,18.59-19.09,74.31-74.81
13,5,22.621848739495796,92.95934959349593,22.37-22.87,92.71-93.21
24,5,14.65546218487395,74.5609756097561,14.55-14.81,74.31-74.81
4,3,25.22689075630252,79.43360433604336,25.14-25.39,79.35-79.60
